time;x;y;z;gforce
5,959;0,02;-0,21;0,96;0,98
5,961;0,02;-0,20;0,96;0,98
5,980;0,01;-0,21;0,96;0,98
5,983;0,02;-0,21;0,95;0,98
5,985;0,02;-0,21;0,96;0,98
5,987;0,01;-0,20;0,96;0,98
6,001;0,01;-0,21;0,96;0,98
6,003;0,02;-0,21;0,96;0,98
6,004;0,02;-0,21;0,96;0,98
6,006;0,02;-0,21;0,97;0,99
6,018;0,02;-0,21;0,97;0,99
6,020;0,02;-0,21;0,97;0,99
6,022;0,02;-0,21;0,96;0,98
6,024;0,02;-0,21;0,96;0,98
6,026;0,02;-0,20;0,97;0,99
6,434;0,01;-0,21;0,97;0,99
6,436;0,02;-0,21;0,97;0,99
6,438;0,02;-0,21;0,97;0,99
6,440;0,02;-0,21;0,96;0,98
6,442;0,02;-0,21;0,97;0,99
6,444;0,02;-0,21;0,96;0,98
6,445;0,02;-0,21;0,96;0,98
6,447;0,01;-0,20;0,97;0,99
6,450;0,02;-0,21;0,96;0,98
6,466;0,02;-0,22;0,96;0,99
6,480;0,01;-0,22;0,96;0,99
6,481;0,02;-0,21;0,96;0,98
6,483;0,02;-0,21;0,97;0,99
6,485;0,02;-0,21;0,98;1,00
6,487;0,02;-0,22;0,97;0,99
6,499;0,02;-0,22;0,97;0,99
6,501;0,02;-0,22;0,96;0,99
6,503;0,01;-0,22;0,97;0,99
6,505;0,02;-0,22;0,97;0,99
6,506;0,02;-0,21;0,97;0,99
6,556;0,01;-0,21;0,96;0,98
6,559;0,02;-0,21;0,96;0,98
6,561;0,02;-0,21;0,95;0,98
6,563;0,02;-0,21;0,96;0,98
6,568;0,02;-0,21;0,96;0,98
6,571;0,02;-0,21;0,95;0,98
6,572;0,02;-0,20;0,96;0,98
6,574;0,02;-0,20;0,96;0,98
6,576;0,02;-0,21;0,96;0,98
6,579;0,01;-0,22;0,96;0,99
6,581;0,02;-0,22;0,96;0,99
6,583;0,02;-0,21;0,96;0,98
6,584;0,02;-0,21;0,97;0,99
6,586;0,02;-0,22;0,97;0,99
6,588;0,01;-0,22;0,97;0,99
6,590;0,01;-0,21;0,97;0,99
6,592;0,01;-0,21;0,96;0,98
6,594;0,02;-0,21;0,96;0,98
6,596;0,02;-0,21;0,96;0,98
6,597;0,02;-0,22;0,97;0,99
6,601;0,02;-0,21;0,97;0,99
6,602;0,02;-0,21;0,97;0,99
6,604;0,02;-0,21;0,96;0,98
6,606;0,02;-0,21;0,96;0,98
6,607;0,02;-0,20;0,96;0,98
6,610;0,02;-0,21;0,95;0,98
6,612;0,02;-0,22;0,95;0,98
6,613;0,01;-0,21;0,97;0,99
6,615;0,02;-0,20;0,97;0,99
6,617;0,02;-0,21;0,95;0,98
6,620;0,02;-0,22;0,98;1,00
6,621;0,02;-0,21;0,96;0,98
6,990;0,02;-0,21;0,95;0,98
6,992;0,02;-0,21;0,97;0,99
6,993;0,02;-0,21;0,96;0,98
6,995;0,02;-0,21;0,95;0,98
7,018;0,02;-0,21;0,97;0,99
7,021;0,02;-0,21;0,98;1,00
7,024;0,02;-0,21;0,95;0,98
7,026;0,02;-0,21;0,97;0,99
7,040;0,02;-0,21;0,95;0,98
7,041;0,02;-0,21;0,96;0,98
7,043;0,01;-0,21;0,98;1,00
7,045;0,01;-0,21;0,96;0,98
